Batch ID,Production Line,Units Produced,Electricity (kWh),Fuel (L),Raw Material Transportation (kg),Product Transportation (kg),Waste (kg),Packaging (kg),Electricity CO2 (kg),Fuel CO2 (kg),Raw Material Transport CO2 (kg),Product Transport CO2 (kg),Waste CO2 (kg),Packaging CO2 (kg),Total CO2 (kg),Projected Electricity CO2 (kg),Projected Fuel CO2 (kg),Projected Waste CO2 (kg),Projected Product Transport CO2 (kg),Projected Total CO2 (kg)
B0157,Line C,3867,1835.77,377.33,252.92,475.43,147.83,165.27,826.1,1011.24,45.53,76.07,162.61,57.84,2179.39,702.18,910.12,130.09,68.46,1914.22
B0158,Line A,3868,2136.9,318.62,417.16,446.72,87.48,147.63,961.6,853.9,75.09,71.48,96.23,51.67,2109.97,817.36,768.51,76.98,64.33,1853.94
B0159,Line A,4297,2259.38,807.07,497.48,411.08,239.62,204.37,1016.72,2162.95,89.55,65.77,263.58,71.53,3670.1,864.21,1946.65,210.87,59.2,3242.01
B0160,Line C,2292,899.07,442.36,253.93,221.04,53.37,158.33,404.58,1185.52,45.71,35.37,58.71,55.42,1785.3,343.89,1066.97,46.97,31.83,1590.79
B0161,Line C,3361,2037.88,325.44,333.16,458.3,184.15,254.75,917.05,872.18,59.97,73.33,202.57,89.16,2214.25,779.49,784.96,162.05,66.0,1941.63
B0162,Line C,3976,1735.19,465.91,247.3,284.4,60.33,209.56,780.84,1248.64,44.51,45.5,66.36,73.35,2259.2,663.71,1123.77,53.09,40.95,1999.38
B0163,Line B,3917,2341.72,322.99,244.93,549.27,167.76,233.8,1053.77,865.61,44.09,87.88,184.54,81.83,2317.72,895.71,779.05,147.63,79.09,2027.4
B0164,Line B,2145,1308.62,259.68,251.11,260.32,118.72,159.15,588.88,695.94,45.2,41.65,130.59,55.7,1557.97,500.55,626.35,104.47,37.49,1369.76
B0165,Line B,1705,700.43,320.95,69.6,163.83,31.44,44.18,315.19,860.15,12.53,26.21,34.58,15.46,1264.13,267.91,774.13,27.67,23.59,1121.29
B0166,Line A,3530,1322.13,538.38,343.41,354.35,206.21,119.75,594.96,1442.86,61.81,56.7,226.83,41.91,2425.07,505.71,1298.57,181.46,51.03,2140.49
B0167,Line B,3372,2233.29,434.09,325.4,263.8,110.08,210.86,1004.98,1163.36,58.57,42.21,121.09,73.8,2464.01,854.23,1047.03,96.87,37.99,2168.49
B0168,Line A,3572,1907.16,471.66,320.82,474.12,204.62,247.98,858.22,1264.05,57.75,75.86,225.08,86.79,2567.75,729.49,1137.64,180.07,68.27,2260.01
B0169,Line A,2354,878.67,188.77,280.62,250.5,103.2,168.13,395.4,505.9,50.51,40.08,113.52,58.85,1164.26,336.09,455.31,90.82,36.07,1027.65
B0170,Line B,4521,3381.47,551.44,293.64,385.61,113.38,203.02,1521.66,1477.86,52.86,61.7,124.72,71.06,3309.85,1293.41,1330.07,99.77,55.53,2902.7
B0171,Line B,3208,1196.94,546.98,215.57,370.73,62.28,81.36,538.62,1465.91,38.8,59.32,68.51,28.48,2199.63,457.83,1319.32,54.81,53.39,1952.63
B0172,Line B,4002,2513.31,865.98,185.35,638.44,100.8,185.16,1130.99,2320.83,33.36,102.15,110.88,64.81,3763.02,961.34,2088.74,88.7,91.94,3328.89
B0173,Line C,1832,1362.04,363.81,138.18,179.31,26.84,62.0,612.92,975.01,24.87,28.69,29.52,21.7,1692.71,520.98,877.51,23.62,25.82,1494.5
B0174,Line B,701,312.42,58.4,42.68,106.04,12.05,26.27,140.59,156.51,7.68,16.97,13.26,9.19,344.2,119.5,140.86,10.6,15.27,303.1
B0175,Line C,4007,1630.45,824.63,270.36,352.42,61.04,265.81,733.7,2210.01,48.66,56.39,67.14,93.03,3208.94,623.65,1989.01,53.72,50.75,2858.82
B0176,Line A,4712,1877.99,893.62,503.08,263.97,146.77,115.59,845.1,2394.9,90.55,42.24,161.45,40.46,3574.69,718.33,2155.41,129.16,38.01,3171.92
B0177,Line C,1074,506.19,203.26,123.34,77.83,53.46,74.81,227.79,544.74,22.2,12.45,58.81,26.18,892.17,193.62,490.26,47.04,11.21,790.51
B0178,Line B,1036,404.47,149.31,56.83,99.51,17.68,47.3,182.01,400.15,10.23,15.92,19.45,16.56,644.32,154.71,360.14,15.56,14.33,571.53
B0179,Line A,2125,1332.09,288.41,148.33,157.59,35.1,118.5,599.44,772.94,26.7,25.21,38.61,41.47,1504.38,509.52,695.64,30.89,22.69,1326.91
B0180,Line A,2622,983.03,320.95,299.67,131.17,110.57,66.54,442.36,860.15,53.94,20.99,121.63,23.29,1522.35,376.01,774.13,97.3,18.89,1343.56
B0181,Line A,885,490.09,78.94,39.78,133.33,17.58,35.61,220.54,211.56,7.16,21.33,19.34,12.46,492.39,187.46,190.4,15.47,19.2,432.15
B0182,Line C,3781,2830.75,423.29,179.18,540.03,56.26,95.97,1273.84,1134.42,32.25,86.4,61.89,33.59,2622.39,1082.76,1020.98,49.51,77.76,2296.85
B0183,Line B,974,658.02,111.55,51.64,128.23,17.87,75.67,296.11,298.95,9.3,20.52,19.66,26.48,671.02,251.69,269.06,15.73,18.47,590.73
B0184,Line A,917,546.61,135.51,80.34,62.78,51.52,62.76,245.97,363.17,14.46,10.04,56.67,21.97,712.29,209.08,326.85,45.34,9.04,626.74
B0185,Line A,4100,1937.26,757.03,213.35,259.28,209.4,195.07,871.77,2028.84,38.4,41.48,230.34,68.27,3279.11,741.0,1825.96,184.27,37.34,2895.24
B0186,Line A,1454,871.76,212.77,170.77,83.51,40.28,48.59,392.29,570.22,30.74,13.36,44.31,17.01,1067.93,333.45,513.2,35.45,12.03,941.88
B0187,Line C,1705,956.19,150.21,129.13,221.04,72.96,129.59,430.29,402.56,23.24,35.37,80.26,45.36,1017.07,365.74,362.31,64.2,31.83,892.68
B0188,Line C,4620,2404.4,989.1,370.16,703.02,170.31,187.92,1081.98,2650.79,66.63,112.48,187.34,65.77,4164.99,919.68,2385.71,149.87,101.23,3688.89
B0189,Line B,2490,1001.69,527.83,148.73,242.42,109.2,73.85,450.76,1414.58,26.77,38.79,120.12,25.85,2076.87,383.15,1273.13,96.1,34.91,1839.91
B0190,Line C,4072,2869.3,773.38,316.3,256.97,179.71,219.03,1291.19,2072.66,56.93,41.12,197.68,76.66,3736.23,1097.51,1865.39,158.14,37.0,3291.63
B0191,Line A,4880,2585.98,1067.68,453.61,519.05,202.21,373.94,1163.69,2861.38,81.65,83.05,222.43,130.88,4543.08,989.14,2575.24,177.94,74.74,4029.59
B0192,Line B,4658,1992.92,727.71,466.24,411.63,108.56,94.23,896.81,1950.26,83.92,65.86,119.42,32.98,3149.26,762.29,1755.24,95.53,59.27,2789.23
B0193,Line A,3213,1597.19,690.11,322.29,293.12,38.4,110.17,718.74,1849.49,58.01,46.9,42.24,38.56,2753.94,610.93,1664.55,33.79,42.21,2448.05
B0194,Line A,2703,1393.81,244.85,233.08,319.89,88.6,206.26,627.21,656.2,41.95,51.18,97.46,72.19,1546.2,533.13,590.58,77.97,46.06,1361.88
B0195,Line C,3620,2465.27,474.93,406.7,467.19,197.47,109.56,1109.37,1272.81,73.21,74.75,217.22,38.35,2785.7,942.97,1145.53,173.77,67.28,2441.11
B0196,Line B,1466,943.29,163.54,154.51,91.14,56.4,39.28,424.48,438.29,27.81,14.58,62.04,13.75,980.95,360.81,394.46,49.63,13.12,859.58
B0197,Line C,3932,2586.16,422.36,395.42,211.99,202.97,213.16,1163.77,1131.92,71.18,33.92,223.27,74.61,2698.66,989.21,1018.73,178.61,30.53,2362.87
B0198,Line C,1188,421.04,118.46,52.8,189.34,70.78,85.19,189.47,317.47,9.5,30.29,77.86,29.82,654.41,161.05,285.73,62.29,27.26,575.65
B0199,Line B,4743,2449.58,792.74,192.33,358.57,86.23,230.64,1102.31,2124.54,34.62,57.37,94.85,80.72,3494.42,936.96,1912.09,75.88,51.63,3091.9
B0200,Line A,4201,2279.2,795.61,239.44,234.93,187.32,334.71,1025.64,2132.23,43.1,37.59,206.05,117.15,3561.76,871.79,1919.01,164.84,33.83,3149.72
B0201,Line A,841,300.81,135.37,78.28,59.62,36.76,51.09,135.36,362.79,14.09,9.54,40.44,17.88,580.1,115.06,326.51,32.35,8.59,514.48
B0202,Line B,2224,1009.53,223.68,162.12,120.73,131.21,54.36,454.29,599.46,29.18,19.32,144.33,19.03,1265.61,386.15,539.52,115.46,17.39,1106.73
B0203,Line A,4922,3219.56,952.69,355.33,458.23,291.78,391.64,1448.8,2553.21,63.96,73.32,320.96,137.07,4597.32,1231.48,2297.89,256.77,65.99,4053.16
B0204,Line B,2292,927.9,387.43,253.88,316.9,101.61,101.93,417.56,1038.31,45.7,50.7,111.77,35.68,1699.72,354.92,934.48,89.42,45.63,1505.83
B0205,Line B,2259,1274.36,303.48,252.21,197.75,50.11,84.13,573.46,813.33,45.4,31.64,55.12,29.45,1548.39,487.44,731.99,44.1,28.48,1366.86
B0206,Line C,3712,1618.73,647.29,418.47,366.97,185.33,198.49,728.43,1734.74,75.32,58.72,203.86,69.47,2870.54,619.16,1561.26,163.09,52.84,2541.14
B0207,Line B,1489,528.37,173.3,96.95,185.1,22.86,56.97,237.77,464.44,17.45,29.62,25.15,19.94,794.36,202.1,418.0,20.12,26.65,704.26
B0208,Line C,2762,1233.18,354.44,263.18,292.71,135.43,69.57,554.93,949.9,47.37,46.83,148.97,24.35,1772.36,471.69,854.91,119.18,42.15,1559.65
B0209,Line A,2982,2207.72,621.59,184.08,431.67,165.53,59.9,993.47,1665.86,33.13,69.07,182.08,20.96,2964.58,844.45,1499.28,145.67,62.16,2605.65
B0210,Line A,1451,973.06,175.09,80.17,210.78,42.28,68.16,437.88,469.24,14.43,33.72,46.51,23.86,1025.64,372.2,422.32,37.21,30.35,900.37
B0211,Line A,1222,896.74,178.17,66.93,62.43,50.75,85.8,403.53,477.5,12.05,9.99,55.82,30.03,988.92,343.0,429.75,44.66,8.99,868.48
B0212,Line A,3889,2120.06,795.77,262.0,527.29,122.53,211.32,954.03,2132.66,47.16,84.37,134.78,73.96,3426.96,810.92,1919.4,107.83,75.93,3035.2
B0213,Line C,2579,1015.85,461.85,191.87,259.66,82.24,206.2,457.13,1237.76,34.54,41.55,90.46,72.17,1933.61,388.56,1113.98,72.37,37.39,1719.01
B0214,Line A,3217,1831.06,285.38,342.53,510.77,82.09,119.71,823.98,764.82,61.66,81.72,90.3,41.9,1864.37,700.38,688.34,72.24,73.55,1638.07
B0215,Line B,2832,1505.92,284.96,140.44,292.14,136.24,104.29,677.66,763.69,25.28,46.74,149.86,36.5,1699.74,576.01,687.32,119.89,42.07,1487.07
B0216,Line B,3876,2665.69,314.34,382.93,614.57,220.19,114.67,1199.56,842.43,68.93,98.33,242.21,40.13,2491.59,1019.63,758.19,193.77,88.5,2169.15
B0217,Line B,2000,778.47,336.66,165.03,266.01,114.08,59.69,350.31,902.25,29.71,42.56,125.49,20.89,1471.21,297.76,812.02,100.39,38.31,1299.08
B0218,Line C,785,428.06,112.0,49.48,60.72,14.71,29.13,192.63,300.16,8.91,9.72,16.18,10.2,537.79,163.73,270.14,12.94,8.74,474.66
B0219,Line A,3995,1638.03,394.7,317.31,436.35,214.68,269.94,737.11,1057.8,57.12,69.82,236.15,94.48,2252.47,626.55,952.02,188.92,62.83,1981.92
B0220,Line A,2565,1230.87,549.19,164.15,408.18,120.23,190.7,553.89,1471.83,29.55,65.31,132.25,66.74,2319.57,470.81,1324.65,105.8,58.78,2056.33
B0221,Line A,1268,817.79,195.47,111.19,183.01,28.71,99.54,368.01,523.86,20.01,29.28,31.58,34.84,1007.58,312.8,471.47,25.26,26.35,890.73
B0222,Line C,3557,1922.23,405.02,265.73,215.95,47.54,120.72,865.0,1085.45,47.83,34.55,52.29,42.25,2127.39,735.25,976.91,41.84,31.1,1875.18
B0223,Line B,4789,2396.2,718.75,254.55,611.56,112.06,349.01,1078.29,1926.25,45.82,97.85,123.27,122.15,3393.63,916.55,1733.63,98.61,88.06,3004.82
B0224,Line B,2661,1351.23,466.07,131.26,234.2,147.98,105.63,608.05,1249.07,23.63,37.47,162.78,36.97,2117.97,516.85,1124.16,130.22,33.72,1865.55
B0225,Line A,3793,2024.62,343.92,317.61,192.56,158.01,101.54,911.08,921.71,57.17,30.81,173.81,35.54,2130.11,774.42,829.54,139.05,27.73,1863.45
B0226,Line B,1446,960.15,171.29,162.23,136.48,66.59,104.4,432.07,459.06,29.2,21.84,73.25,36.54,1051.95,367.26,413.15,58.6,19.65,924.4
B0227,Line B,3835,2710.71,740.06,258.93,290.78,87.66,223.07,1219.82,1983.36,46.61,46.52,96.43,78.07,3470.81,1036.85,1785.02,77.14,41.87,3065.56
B0228,Line C,4650,3404.42,671.24,458.68,651.35,213.76,138.96,1531.99,1798.92,82.56,104.22,235.14,48.64,3801.46,1302.19,1619.03,188.11,93.79,3334.32
B0229,Line C,1981,1316.89,310.07,183.62,172.56,22.6,90.71,592.6,830.99,33.05,27.61,24.86,31.75,1540.86,503.71,747.89,19.89,24.85,1361.14
B0230,Line C,2401,1143.27,337.57,274.97,338.61,69.07,89.4,514.47,904.69,49.49,54.18,75.98,31.29,1630.1,437.3,814.22,60.78,48.76,1441.84
B0231,Line C,3951,2470.38,340.36,417.54,197.81,163.33,253.68,1111.67,912.16,75.16,31.65,179.66,88.79,2399.09,944.92,820.95,143.73,28.48,2102.03
B0232,Line A,4564,2396.29,471.03,389.44,382.74,78.98,215.44,1078.33,1262.36,70.1,61.24,86.88,75.4,2634.31,916.58,1136.12,69.5,55.11,2322.81
B0233,Line C,554,250.34,78.88,51.28,42.4,28.34,43.96,112.65,211.4,9.23,6.78,31.17,15.39,386.63,95.76,190.26,24.94,6.11,341.69
B0234,Line B,2323,1594.39,253.87,259.88,175.83,50.53,54.09,717.48,680.37,46.78,28.13,55.58,18.93,1547.27,609.85,612.33,44.47,25.32,1357.68
B0235,Line A,3962,1447.6,344.68,285.11,227.82,168.84,163.63,651.42,923.74,51.32,36.45,185.72,57.27,1905.93,553.71,831.37,148.58,32.81,1675.06
B0236,Line B,3579,2543.61,709.04,236.73,252.62,108.3,175.06,1144.62,1900.23,42.61,40.42,119.13,61.27,3308.28,972.93,1710.2,95.3,36.38,2918.69
B0237,Line B,1332,712.08,289.53,54.43,148.0,53.02,66.85,320.44,775.94,9.8,23.68,58.32,23.4,1211.57,272.37,698.35,46.66,21.31,1071.89
B0238,Line B,4908,2968.75,937.62,520.86,402.7,75.45,191.2,1335.94,2512.82,93.75,64.43,83.0,66.92,4156.86,1135.55,2261.54,66.4,57.99,3682.15
B0239,Line C,3306,2029.03,659.65,344.08,317.09,35.86,210.77,913.06,1767.86,61.93,50.73,39.45,73.77,2906.81,776.1,1591.08,31.56,45.66,2580.1
B0240,Line C,2990,2117.06,340.49,144.59,273.45,165.88,216.73,952.68,912.51,26.03,43.75,182.47,75.86,2193.29,809.78,821.26,145.97,39.38,1918.28
B0241,Line A,827,500.06,177.38,71.24,121.03,19.42,63.12,225.03,475.38,12.82,19.36,21.36,22.09,776.05,191.27,427.84,17.09,17.43,688.54
B0242,Line A,3810,2269.13,409.84,293.82,569.91,194.25,260.24,1021.11,1098.37,52.89,91.19,213.68,91.08,2568.31,867.94,988.53,170.94,82.07,2253.45
B0243,Line C,3800,1431.31,810.16,188.09,396.06,227.88,269.93,644.09,2171.23,33.86,63.37,250.67,94.48,3257.69,547.48,1954.11,200.53,57.03,2887.49
B0244,Line B,4175,2326.99,915.47,494.51,360.37,85.89,221.41,1047.15,2453.46,89.01,57.66,94.48,77.49,3819.25,890.07,2208.11,75.58,51.89,3392.15
B0245,Line A,3554,1457.38,638.44,203.2,219.45,82.66,247.19,655.82,1711.02,36.58,35.11,90.93,86.52,2615.97,557.45,1539.92,72.74,31.6,2324.81
B0246,Line C,2643,1704.66,574.48,119.94,409.33,114.03,100.99,767.1,1539.61,21.59,65.49,125.43,35.35,2554.56,652.03,1385.65,100.35,58.94,2253.91
B0247,Line C,1811,1004.9,289.28,158.62,102.55,105.53,79.52,452.2,775.27,28.55,16.41,116.08,27.83,1416.35,384.37,697.74,92.87,14.77,1246.13
B0248,Line C,3691,2296.14,429.4,365.81,305.4,205.92,144.0,1033.26,1150.79,65.85,48.86,226.51,50.4,2575.68,878.27,1035.71,181.21,43.98,2255.42
B0249,Line B,3038,1113.94,428.9,129.41,251.51,106.77,145.96,501.27,1149.45,23.29,40.24,117.45,51.09,1882.79,426.08,1034.51,93.96,36.22,1665.15
B0250,Line C,4483,1721.1,731.17,415.56,382.15,223.05,166.48,774.5,1959.54,74.8,61.14,245.36,58.27,3173.6,658.32,1763.58,196.28,55.03,2806.28
B0251,Line C,664,422.66,59.91,54.84,45.2,11.15,51.59,190.2,160.56,9.87,7.23,12.26,18.06,398.18,161.67,144.5,9.81,6.51,350.42
B0252,Line C,4777,1809.69,798.37,230.54,650.38,281.23,185.21,814.36,2139.63,41.5,104.06,309.35,64.82,3473.73,692.21,1925.67,247.48,93.65,3065.33
B0253,Line C,1322,500.38,287.36,71.13,83.91,76.96,34.22,225.17,770.12,12.8,13.43,84.66,11.98,1118.16,191.4,693.11,67.72,12.08,989.09
B0254,Line A,1443,512.04,153.85,123.29,172.93,26.24,74.47,230.42,412.32,22.19,27.67,28.86,26.06,747.53,195.86,371.09,23.09,24.9,663.19
B0255,Line A,4925,3608.06,940.49,313.76,313.34,122.98,115.37,1623.63,2520.51,56.48,50.13,135.28,40.38,4426.41,1380.08,2268.46,108.22,45.12,3898.74
B0256,Line C,1274,821.73,263.85,146.59,73.58,19.12,33.93,369.78,707.12,26.39,11.77,21.03,11.88,1147.96,314.31,636.41,16.83,10.6,1016.42
B0257,Line B,2698,1325.53,572.29,284.64,404.8,63.63,89.47,596.49,1533.74,51.24,64.77,69.99,31.31,2347.54,507.02,1380.36,55.99,58.29,2084.21
B0258,Line A,3656,1713.25,783.92,433.91,259.26,185.72,174.98,770.96,2100.91,78.1,41.48,204.29,61.24,3256.99,655.32,1890.82,163.43,37.33,2886.24
B0259,Line C,4742,2323.02,725.55,288.19,665.48,137.12,218.11,1045.36,1944.47,51.87,106.48,150.83,76.34,3375.35,888.56,1750.03,120.67,95.83,2983.3
B0260,Line A,4195,2768.12,909.57,493.24,461.07,60.49,285.18,1245.65,2437.65,88.78,73.77,66.54,99.81,4012.21,1058.81,2193.88,53.23,66.39,3560.9
B0261,Line A,3952,2428.69,735.16,294.42,231.45,107.14,254.38,1092.91,1970.23,53.0,37.03,117.85,89.03,3360.05,928.97,1773.21,94.28,33.33,2971.82
B0262,Line B,1414,599.65,145.12,95.87,219.31,83.52,64.45,269.84,388.92,17.26,35.09,91.87,22.56,825.54,229.37,350.03,73.5,31.58,724.3
B0263,Line C,1808,758.72,265.35,79.6,139.52,75.0,72.36,341.42,711.14,14.33,22.32,82.5,25.33,1197.04,290.21,640.02,66.0,20.09,1055.98
B0264,Line C,4677,1821.03,844.51,206.82,676.11,144.09,182.35,819.46,2263.29,37.23,108.18,158.5,63.82,3450.48,696.54,2036.96,126.8,97.36,3058.71
B0265,Line B,1013,622.1,116.12,96.6,69.46,18.57,67.3,279.94,311.2,17.39,11.11,20.43,23.55,663.63,237.95,280.08,16.34,10.0,585.31
B0266,Line B,2420,1586.91,410.64,185.46,348.32,143.53,55.96,714.11,1100.52,33.38,55.73,157.88,19.59,2081.21,606.99,990.46,126.31,50.16,1826.89
B0267,Line C,4094,1866.94,709.59,237.95,210.66,208.97,85.03,840.12,1901.7,42.83,33.71,229.87,29.76,3077.99,714.1,1711.53,183.89,30.34,2712.45
B0268,Line C,1909,684.14,196.2,170.13,202.92,45.96,129.3,307.86,525.82,30.62,32.47,50.56,45.26,992.58,261.68,473.23,40.44,29.22,880.45
B0269,Line B,3690,1412.79,587.12,222.24,496.82,49.83,179.44,635.76,1573.48,40.0,79.49,54.81,62.8,2446.35,540.39,1416.13,43.85,71.54,2174.71
B0270,Line A,4991,3679.09,938.45,430.28,762.76,64.04,139.01,1655.59,2515.05,77.45,122.04,70.44,48.65,4489.23,1407.25,2263.54,56.36,109.84,3963.09
B0271,Line A,2055,962.11,307.93,141.25,308.28,32.92,70.15,432.95,825.25,25.42,49.32,36.21,24.55,1393.72,368.01,742.73,28.97,44.39,1234.07
B0272,Line B,1304,857.63,106.53,138.07,182.77,50.91,99.04,385.93,285.5,24.85,29.24,56.0,34.66,816.19,328.04,256.95,44.8,26.32,715.62
B0273,Line A,1779,1067.16,144.57,187.96,262.76,100.4,127.32,480.22,387.45,33.83,42.04,110.44,44.56,1098.55,408.19,348.7,88.35,37.84,961.47
B0274,Line B,4077,2049.82,529.95,318.77,293.19,142.03,255.17,922.42,1420.27,57.38,46.91,156.23,89.31,2692.52,784.06,1278.24,124.99,42.22,2376.2
B0275,Line A,3401,1470.17,713.08,231.49,276.37,177.35,166.42,661.58,1911.05,41.67,44.22,195.08,58.25,2911.85,562.34,1719.95,156.07,39.8,2578.08
B0276,Line A,1887,752.07,211.37,130.21,154.33,60.94,96.65,338.43,566.47,23.44,24.69,67.03,33.83,1053.9,287.67,509.82,53.63,22.22,930.61
B0277,Line C,3261,1943.57,550.49,340.63,298.3,148.14,256.04,874.61,1475.31,61.31,47.73,162.95,89.61,2711.53,743.42,1327.78,130.36,42.96,2395.44
B0278,Line C,3179,2097.67,353.16,210.62,296.49,148.12,247.79,943.95,946.47,37.91,47.44,162.93,86.73,2225.43,802.36,851.82,130.35,42.69,1951.86
B0279,Line A,2606,1583.31,325.84,147.82,286.4,48.73,85.78,712.49,873.25,26.61,45.82,53.6,30.02,1741.8,605.62,785.93,42.88,41.24,1532.3
B0280,Line A,4723,2654.9,938.58,220.92,319.21,132.53,324.31,1194.71,2515.39,39.77,51.07,145.78,113.51,4060.23,1015.5,2263.85,116.63,45.97,3595.23
B0281,Line C,3268,1198.64,594.91,252.73,411.89,136.82,104.04,539.39,1594.36,45.49,65.9,150.5,36.41,2432.06,458.48,1434.92,120.4,59.31,2155.01
B0282,Line C,4453,3283.62,415.71,349.87,304.73,60.27,146.11,1477.63,1114.1,62.98,48.76,66.3,51.14,2820.9,1255.98,1002.69,53.04,43.88,2469.71
B0283,Line C,3686,2467.72,516.11,395.41,310.12,103.49,223.24,1110.47,1383.17,71.17,49.62,113.84,78.13,2806.41,943.9,1244.86,91.07,44.66,2473.79
B0284,Line B,3780,1765.75,317.84,218.1,398.29,138.88,167.45,794.59,851.81,39.26,63.73,152.77,58.61,1960.76,675.4,766.63,122.21,57.35,1719.46
B0285,Line A,3073,2280.13,452.73,216.58,422.87,183.8,233.22,1026.06,1213.32,38.98,67.66,202.18,81.63,2629.83,872.15,1091.98,161.74,60.89,2307.37
B0286,Line C,3099,1830.74,535.32,324.38,407.03,104.52,78.53,823.83,1434.66,58.39,65.12,114.97,27.49,2524.46,700.26,1291.19,91.98,58.61,2227.92
B0287,Line A,4533,2642.6,437.84,480.0,548.53,230.29,229.78,1189.17,1173.41,86.4,87.76,253.32,80.42,2870.49,1010.79,1056.07,202.66,78.99,2515.33
B0288,Line B,736,477.83,88.65,52.09,49.41,23.26,55.28,215.02,237.58,9.38,7.91,25.59,19.35,514.82,182.77,213.82,20.47,7.12,452.91
B0289,Line B,1804,1217.17,244.8,138.42,198.76,89.87,133.94,547.73,656.06,24.92,31.8,98.86,46.88,1406.24,465.57,590.46,79.09,28.62,1235.54
B0290,Line C,3930,2407.48,820.33,252.55,234.3,156.3,115.51,1083.37,2198.48,45.46,37.49,171.93,40.43,3577.16,920.86,1978.64,137.54,33.74,3156.67
B0291,Line B,1801,722.63,394.52,206.4,164.81,97.85,75.64,325.18,1057.31,37.15,26.37,107.64,26.47,1580.13,276.41,951.58,86.11,23.73,1401.45
B0292,Line A,3041,1475.82,262.4,150.5,290.38,92.89,173.78,664.12,703.23,27.09,46.46,102.18,60.82,1603.9,564.5,632.91,81.74,41.81,1408.87
B0293,Line C,2551,1839.87,475.87,292.6,138.72,102.59,75.42,827.94,1275.33,52.67,22.2,112.85,26.4,2317.38,703.75,1147.8,90.28,19.98,2040.88
B0294,Line A,941,413.9,124.25,89.12,75.41,39.05,73.47,186.26,332.99,16.04,12.07,42.96,25.71,616.02,158.32,299.69,34.36,10.86,544.98
B0295,Line A,2576,1285.08,347.62,212.59,399.59,79.52,192.9,578.29,931.62,38.27,63.93,87.47,67.52,1767.1,491.54,838.46,69.98,57.54,1563.31
B0296,Line B,3680,1924.02,683.0,156.81,570.03,63.35,110.46,865.81,1830.44,28.23,91.2,69.68,38.66,2924.03,735.94,1647.4,55.75,82.08,2588.06
B0297,Line B,3157,1659.83,658.49,246.4,280.2,46.34,86.09,746.92,1764.75,44.35,44.83,50.97,30.13,2681.97,634.88,1588.28,40.78,40.35,2378.77
B0298,Line B,4298,2558.07,916.03,312.12,235.28,46.56,107.99,1151.13,2454.96,56.18,37.64,51.22,37.8,3788.93,978.46,2209.46,40.97,33.88,3356.75
B0299,Line B,1304,948.31,209.68,68.98,90.89,69.99,97.23,426.74,561.94,12.42,14.54,76.99,34.03,1126.66,362.73,505.75,61.59,13.09,989.61
B0300,Line B,574,256.16,74.62,53.1,53.46,12.53,18.15,115.27,199.98,9.56,8.55,13.78,6.35,353.5,97.98,179.98,11.03,7.7,312.6
B0301,Line C,2675,1066.26,508.94,314.83,412.63,55.04,120.31,479.82,1363.96,56.67,66.02,60.54,42.11,2069.12,407.84,1227.56,48.44,59.42,1842.04
B0302,Line A,4424,1897.84,509.38,375.93,289.91,207.05,207.62,854.03,1365.14,67.67,46.39,227.76,72.67,2633.64,725.92,1228.62,182.2,41.75,2318.83
B0303,Line A,2589,1824.65,411.57,251.6,346.89,67.32,144.83,821.09,1103.01,45.29,55.5,74.05,50.69,2149.63,697.93,992.71,59.24,49.95,1895.81
B0304,Line A,540,328.5,70.31,24.56,33.46,19.06,13.12,147.83,188.43,4.42,5.35,20.97,4.59,371.59,125.65,169.59,16.77,4.82,325.84
B0305,Line A,2581,1198.52,443.75,189.48,407.64,46.78,86.74,539.33,1189.25,34.11,65.22,51.46,30.36,1909.73,458.43,1070.32,41.17,58.7,1693.09
B0306,Line B,2122,1435.28,241.18,104.63,195.18,123.05,161.04,645.88,646.36,18.83,31.23,135.36,56.36,1534.02,548.99,581.73,108.28,28.11,1342.3
B0307,Line A,841,584.11,89.84,74.87,113.77,44.22,62.66,262.85,240.77,13.48,18.2,48.64,21.93,605.87,223.42,216.69,38.91,16.38,530.81
B0308,Line C,4552,3134.53,949.34,523.84,399.14,242.12,304.43,1410.54,2544.23,94.29,63.86,266.33,106.55,4485.81,1198.96,2289.81,213.07,57.48,3960.16
B0309,Line C,2574,1847.03,242.61,239.23,306.42,78.09,54.48,831.16,650.19,43.06,49.03,85.9,19.07,1678.41,706.49,585.18,68.72,44.12,1466.64
B0310,Line A,1145,516.28,172.71,52.84,81.43,55.1,45.37,232.33,462.86,9.51,13.03,60.61,15.88,794.22,197.48,416.58,48.49,11.73,699.67
B0311,Line A,4763,3105.56,528.31,325.66,314.65,81.89,274.72,1397.5,1415.87,58.62,50.34,90.08,96.15,3108.57,1187.88,1274.28,72.06,45.31,2734.3
B0312,Line C,1109,592.45,94.76,93.21,169.88,11.57,40.49,266.6,253.96,16.78,27.18,12.73,14.17,591.42,226.61,228.56,10.18,24.46,520.76
B0313,Line C,954,655.21,81.13,68.93,144.0,10.49,71.14,294.84,217.43,12.41,23.04,11.54,24.9,584.16,250.62,195.69,9.23,20.74,513.59
B0314,Line B,3453,2214.74,360.95,368.41,509.74,135.81,200.39,996.63,967.35,66.31,81.56,149.39,70.14,2331.38,847.14,870.61,119.51,73.4,2047.11
B0315,Line C,2208,1458.56,444.58,232.22,262.31,72.36,53.69,656.35,1191.47,41.8,41.97,79.6,18.79,2029.98,557.9,1072.33,63.68,37.77,1792.27
